Datasource,Combined_Score,Invalid_Data_Raw_Score,Invalid_Data_Adjusted_Score,Missing_Data_Raw_Score,Missing_Data_Adjusted_Score
WorldBank,76.92775950000001,100.0,100.0,53.855519,53.855519
Starbucks,99.99981,99.99962,99.99962,91.530255,100.0
