Datasource,Combined_Score,Invalid_Data_Raw_Score,Invalid_Data_Adjusted_Score,Missing_Data_Raw_Score,Missing_Data_Adjusted_Score
WorldBank,68.1209415,100.0,100.0,36.241883,36.241883
Starbucks,99.99981,99.99962,99.99962,91.531691,100.0
