date,count
2013-12-08 22:41:59,510.0
2014-01-01 00:00:00,513.0
2014-02-01 00:00:00,515.0
2014-03-01 00:00:00,516.0
2014-04-01 00:00:00,519.0
2014-05-01 00:00:00,520.0
2014-06-01 00:00:00,525.0
2014-07-01 00:00:00,527.0
2014-08-01 00:00:00,535.0
2014-09-01 00:00:00,541.0
2014-10-01 00:00:00,544.0
2014-11-01 00:00:00,548.0
2014-12-01 00:00:00,550.0
2015-01-01 00:00:00,555.0
2015-02-01 00:00:00,557.0
2015-03-01 00:00:00,559.0
2015-04-01 00:00:00,562.0
2015-05-01 00:00:00,562.0
2015-06-01 00:00:00,571.0
2015-07-01 00:00:00,572.0
2015-08-01 00:00:00,592.0
2015-09-01 00:00:00,595.0
2015-10-01 00:00:00,603.0
2015-11-01 00:00:00,605.0
2015-12-01 00:00:00,607.0
2016-01-01 00:00:00,609.0
2016-02-01 00:00:00,611.0
2016-03-01 00:00:00,613.0
2016-04-01 00:00:00,616.0
2016-05-01 00:00:00,620.0
2016-06-01 00:00:00,622.0
2016-07-01 00:00:00,622.0
2016-08-01 00:00:00,622.0
2016-09-01 00:00:00,626.0
2016-10-01 00:00:00,633.0
2016-11-01 00:00:00,639.0
