Dataset,feature1,feature2,r
WB,IC.BUS.EASE.XQ,SL.GDP.PCAP.EM.KD,-0.557920
WB,IC.BUS.EASE.XQ,IT.NET.USER.P2,-0.831488
WB,SL.GDP.PCAP.EM.KD,IT.NET.USER.P2,0.741431
