Datasource,Invalid_Data_Raw_Score,Invalid_Data_Adjusted_Score,Missing_Data_Raw_Score,Missing_Data_Adjusted_Score
WorldBank,100.0,100.0,33.64899,33.64899
Starbucks,99.999233,99.999233,91.523031,100.0
