country_code,SH.H2O.SAFE.ZS,IC.WRH.DURS,IC.BUS.EASE.XQ,IC.REG.DURS,IQ.WEF.CUST.XQ,IC.REG.COST.PC.ZS,name,IT.CEL.SETS.P2,SH.STA.ACSN.UR,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,IQ.WEF.PORT.XQ,BX.KLT.DINV.WD.GD.ZS,IC.IMP.COST.CD,BG.GSR.NFSV.GD.ZS,NE.CON.PETC.ZS,IC.ELC.TIME,IC.BUS.DISC.XQ,NE.CON.PRVT.PC.KD.ZG,IT.NET.USER.P2,NE.CON.PRVT.KD.ZG,IC.EXP.COST.CD,IC.LGL.CRED.XQ,IC.REG.PROC,IC.IMP.DURS,FP.CPI.TOTL.ZG,SP.URB.GROW,IC.TAX.TOTL.CP.ZS,SP.POP.TOTL,TX.VAL.OTHR.ZS.WT,SP.POP.1564.TO.ZS,SL.GDP.PCAP.EM.KD,NY.GNP.PCAP.CD,IC.ISV.DURS,TX.VAL.TECH.CD,Ease.Of.Doing.Business,ST.INT.ARVL.Categorical,SP.POP.TOTL.Categorical,Num.Starbucks.Stores,Num.Starbucks.Stores.Categorical,Starbucks.Store.Density,Starbucks.Store.Density.Categorical,Num.Starbucks.Stores.On.Airports,Exists.In.Multiple.Cities,Ownership.Type.Mixed,continent,MultipleBrands
KZ,92.9,154.0,41.0,5.0,4.22222227369036,0.1,Kazakhstan,187.17390180476397,97.0,53.247,4560000.0,2.91224895204817,2.18089212105646,5265.0,8.41172124761894,52.1115092302244,83.0,9.0,-3.2038349953965097,72.8660129673921,-1.7608709512731102,5285.0,4.0,4.0,67.0,6.71830657978647,1.3828619903551698,29.2,17544126.0,14.1138500719188,66.5468630019269,46768.8203125,11580.0,1.5,3321231321.0,Medium,M,M,6,L,0.03419948078348275,VL,0,True,False,Asia,False
MC,100.0,169.3044117647059,55.64705882352941,15.739705882352943,4.414026663961565,8.280882352941177,Monaco,88.7787056367432,100.0,100.0,329000.0,4.633316158977334,5.21891429215097,1283.2205882352941,27.282444194690342,56.40002387696422,78.39117647058822,6.608823529411764,1.5536051901175425,93.3633020180933,2.68041430859638,1184.5985294117647,5.573529411764706,6.489705882352942,14.383823529411766,1.716046004332363,0.28664722231057,40.336764705882366,37731.0,34.843722142345264,67.67784916750546,65623.96818273207,25603.030303030304,2.3507462686567164,30761610197.38806,,VL,VL,2,VL,5.300681137526172,VH,0,False,False,Europe,False
MX,96.1,86.4,38.0,6.3,3.97704834212905,17.9,Mexico,85.30441670704991,88.0,79.24600000000002,29346000.0,4.30643171158071,2.64648833427846,1887.6,4.7771806631298785,67.1493033959856,78.9,8.0,1.83433687331632,57.4310429923633,3.15930012228316,1499.3,10.0,6.0,11.2,2.7206412625697403,1.64032923196431,51.7,127017224.0,2.4461769294377698,65.92757451540591,39052.75,9710.0,1.8,45780911356.0,Medium,VH,VH,558,VH,0.43931049855096815,H,12,True,False,North America,False
LU,100.0,157.0,61.0,18.5,5.58825263734591,2.0,Luxembourg,148.51056858489702,97.5,90.16,1038000.0,4.68210018125631,42.557943730753706,1420.0,286.377541660037,29.404077716478806,56.0,6.0,-2.20865303504434,97.3341,0.139278675738353,1425.0,3.0,6.0,7.0,0.474513795285125,2.6925595255396604,20.1,569676.0,28.4348132395204,69.5849129798452,201747.796875,77000.0,2.0,673934496.0,Medium,VL,VL,2,VL,0.3510767523996096,H,1,True,False,Europe,False
SK,100.0,286.0,29.0,11.5,4.4732406190679015,1.5,Slovak Republic,122.310164241156,99.4,53.598,13053279.411764706,3.1649936813342405,2.48283551118229,1505.0,18.453927239883,55.6424425009094,121.0,3.0,2.2649140058558,85.019514056785,2.36684583435137,1525.0,7.0,6.0,16.0,-0.32521977742810404,-0.196595130229943,51.2,5424050.0,38.2463402853558,71.0312889656187,59745.76171875,17310.0,4.0,6720319370.0,High,H,M,2,VL,0.036872816437901565,L,0,False,False,Europe,False
AU,100.0,112.0,13.0,2.5,5.16544415724344,0.7,Australia,132.800509432285,100.0,89.42299999999999,6868000.0,4.98650344390443,2.7511165565959703,1220.0,7.9867014527888704,56.875686338814106,75.0,8.0,1.3151827037711998,84.560519347399,2.68431006195,1200.0,11.0,3.0,8.0,1.5083667216591998,1.49226714589492,47.6,23781169.0,22.8842645571676,66.257035710291,86972.46875,60070.0,1.0,4237456601.0,High,M,H,22,M,0.09251017054712492,M,0,True,True,Oceania,False
DK,100.0,64.0,3.0,3.0,5.05040136482309,0.2,Denmark,128.341937604507,99.6,87.676,10267000.0,5.75960258756365,0.5661434163688179,745.0,39.0161430493463,47.9310497633745,38.0,7.0,1.54709603890156,96.3305,2.1323776947709097,795.0,8.0,4.0,5.0,0.452034153691609,0.773385050005967,24.5,5676002.0,27.448462586408702,64.1595524918413,87166.90625,58590.0,1.0,9318204877.0,VeryHigh,H,M,21,M,0.36997872798494436,H,3,True,False,Europe,False
SG,100.0,26.0,1.0,2.5,6.160622924420888,0.6,Singapore,146.1398082816,100.0,100.0,11864000.0,6.66474054019626,22.2937718803364,440.0,96.70033220930559,36.43808794955,31.0,10.0,1.1648346566794698,82.103,2.48696447294438,460.0,8.0,3.0,4.0,-0.541666666666702,1.1863769374982198,18.4,5535002.0,36.2232683619976,72.7763243833583,138814.796875,52090.0,0.8,137369116389.0,,H,M,125,H,2.2583551008653657,VH,6,True,False,Asia,False
RO,100.0,257.0,37.0,8.0,4.032064312130379,2.0,Romania,107.140204125259,92.2,54.56399999999999,8442000.0,3.41962983195342,2.1862527755863703,1495.0,16.595627345861,61.442305574537,182.0,9.0,6.559355146398231,55.7632,6.1494204626225,1485.0,10.0,5.0,13.0,-0.593318715336016,-0.0715551440211587,42.0,19832389.0,57.3356533386087,67.1654214752418,37818.41015625,9500.0,3.3,3536097090.0,Medium,M,H,24,M,0.12101416526269225,M,1,True,False,Europe,False
SA,97.0,106.0,82.0,19.0,4.44128084298637,4.1,Saudi Arabia,176.588813181571,100.0,83.13,18259000.0,4.843094238473308,1.26021720473873,1309.0,16.2033409690251,40.8175910327607,61.0,8.0,3.77752582228572,69.61623580140039,6.13303561186298,1285.0,2.0,12.0,17.0,2.18463706835827,2.34047302082823,15.0,31540372.0,1.94455736564062,68.5556815880295,143967.5,23550.0,2.3507462686567164,254366095.0,Medium,VH,H,92,H,0.29168964779489603,M,7,True,False,Asia,False
